# 1   2   3    4              5                6         7            8           9    
# Mu, T, <N>, <d>, <d_0s_rs_r+1> at r=n.n., r=n.n.n, r=3rd n.n., r=4th n.n., r=5th n.n.
  -0.10000E+02   0.14661E+00  -0.88316E-25   0.74507E-59  -0.16438-109   0.50783-113   0.39250-113   0.78736-115  -0.77864-118
  -0.10000E+02   0.15882E+00  -0.10297E-22   0.35223E-54  -0.20289-101   0.88852-105   0.69226-105   0.14695-106  -0.27417-109
  -0.10000E+02   0.17204E+00  -0.89063E-21  -0.87439E-50  -0.58125E-94   0.35269E-97   0.27754E-97   0.63052E-99  -0.19417-101
  -0.10000E+02   0.18637E+00  -0.59179E-19  -0.94663E-47  -0.43103E-87   0.35528E-90   0.28297E-90   0.69668E-92  -0.32556E-94
  -0.10000E+02   0.20000E+00  -0.19912E-17  -0.61145E-44  -0.17459E-81   0.18594E-84   0.14995E-84   0.40077E-86  -0.25647E-88
  -0.10000E+02   0.21871E+00  -0.14329E-15  -0.15163E-40  -0.61104E-75   0.88687E-78   0.72846E-78   0.21953E-79  -0.19676E-81
  -0.10000E+02   0.23693E+00  -0.63869E-14  -0.10540E-37  -0.13985E-69   0.26489E-72   0.22176E-72   0.75571E-74  -0.86764E-76
  -0.10000E+02   0.25666E+00  -0.62232E-12  -0.47912E-35  -0.11884E-64   0.29203E-67   0.24991E-67   0.97704E-69  -0.13703E-70
  -0.10000E+02   0.27804E+00   0.34513E-11  -0.14499E-32  -0.40345E-60   0.12847E-62   0.11279E-62   0.51283E-64  -0.84099E-66
  -0.10000E+02   0.30000E+00   0.17624E-10  -0.23172E-30  -0.37043E-56   0.15158E-58   0.13693E-58   0.72662E-60  -0.13344E-61
  -0.10000E+02   0.32628E+00   0.13249E-09  -0.43303E-28  -0.38415E-52   0.21017E-54   0.19724E-54   0.12534E-55  -0.25253E-57
  -0.10000E+02   0.35345E+00   0.85130E-09  -0.45109E-26  -0.12023E-48   0.88994E-51   0.87349E-51   0.66284E-52  -0.14258E-53
  -0.10000E+02   0.38289E+00   0.47679E-08  -0.34779E-24  -0.18610E-45   0.19512E-47   0.20244E-47   0.18366E-48  -0.41603E-50
  -0.10000E+02   0.40000E+00   0.11401E-07  -0.33220E-23  -0.76904E-44   0.10076E-45   0.10835E-45   0.10824E-46  -0.25143E-48
  -0.10000E+02   0.44933E+00   0.90664E-07  -0.93629E-21  -0.52307E-40   0.16055E-41   0.19412E-41   0.24783E-42  -0.61387E-44
  -0.10000E+02   0.50000E+00   0.45925E-06  -0.11164E-18   0.41187E-38   0.44925E-38   0.62468E-38   0.97694E-39  -0.25787E-40
  -0.10000E+02   0.52729E+00   0.94756E-06  -0.10719E-17   0.27083E-35   0.17099E-36   0.25800E-36   0.44173E-37  -0.12075E-38
  -0.10000E+02   0.57121E+00   0.25909E-05  -0.29185E-16   0.10536E-32   0.28695E-34   0.49715E-34   0.96153E-35  -0.27830E-36
  -0.10000E+02   0.60000E+00   0.46042E-05  -0.21769E-15   0.26795E-31   0.54845E-33   0.10434E-32   0.21560E-33  -0.64795E-35
  -0.10000E+02   0.67032E+00   0.15198E-04  -0.35413E-13   0.19133E-28   0.25440E-30   0.61049E-30   0.14297E-30  -0.46969E-32
  -0.10000E+02   0.70000E+00   0.23437E-04   0.32686E-12   0.20040E-27   0.23457E-29   0.62055E-29   0.15132E-29  -0.51498E-31
  -0.10000E+02   0.80000E+00   0.80398E-04   0.98376E-12   0.14738E-24   0.12491E-26   0.45267E-26   0.12176E-26  -0.45952E-28
  -0.10000E+02   0.85214E+00   0.13720E-03   0.30241E-11   0.24861E-23   0.18521E-25   0.77985E-25   0.21703E-25  -0.85515E-27
  -0.10000E+02   0.90000E+00   0.21299E-03   0.77845E-11   0.25020E-22   0.16839E-24   0.80411E-24   0.22921E-24  -0.93329E-26
  -0.10000E+02   0.10000E+01   0.47073E-03   0.41990E-10   0.15533E-20   0.88708E-23   0.52607E-22   0.15503E-22  -0.66316E-24
  -0.10000E+02   0.10833E+01   0.82190E-03   0.13289E-09   0.27548E-19   0.14446E-21   0.96950E-21   0.29005E-21  -0.12705E-22
  -0.10000E+02   0.11735E+01   0.13847E-02   0.38141E-09   0.39866E-18   0.20151E-20   0.14513E-19   0.43724E-20  -0.19377E-21
  -0.10000E+02   0.12712E+01   0.22561E-02   0.10060E-08   0.47734E-17   0.24719E-19   0.17895E-18   0.53879E-19  -0.23878E-20
  -0.10000E+02   0.13771E+01   0.35622E-02   0.24657E-08   0.47720E-16   0.27112E-18   0.18404E-17   0.54969E-18  -0.24116E-19
  -0.10000E+02   0.14918E+01   0.54599E-02   0.56609E-08   0.39939E-15   0.26765E-17   0.15957E-16   0.46949E-17  -0.20233E-18
  -0.10000E+02   0.16161E+01   0.81364E-02   0.12249E-07   0.27843E-14   0.23783E-16   0.11766E-15   0.33881E-16  -0.14283E-17
  -0.10000E+02   0.17507E+01   0.11805E-01   0.25094E-07   0.15976E-13   0.18960E-15   0.74224E-15   0.20804E-15  -0.85881E-17
  -0.10000E+02   0.18965E+01   0.16698E-01   0.48859E-07   0.74483E-13   0.13468E-14   0.40155E-14   0.10920E-14  -0.44502E-16
  -0.10000E+02   0.20544E+01   0.23054E-01   0.90691E-07   0.28143E-12   0.83839E-14   0.18602E-13   0.49099E-14  -0.20108E-15
  -0.10000E+02   0.22255E+01   0.31100E-01   0.16093E-06   0.87494E-12   0.44074E-13   0.73421E-13   0.18910E-13  -0.80207E-15
  -0.10000E+02   0.24109E+01   0.41040E-01   0.27366E-06   0.23033E-11   0.18465E-12   0.24529E-12   0.62327E-13  -0.28646E-14
  -0.10000E+02   0.26117E+01   0.53030E-01   0.44700E-06   0.52982E-11   0.59042E-12   0.69134E-12   0.17580E-12  -0.93290E-14
  -0.10000E+02   0.28292E+01   0.67165E-01   0.70285E-06   0.10934E-10   0.14713E-11   0.16507E-11   0.42577E-12  -0.28472E-13
  -0.10000E+02   0.30649E+01   0.83462E-01   0.10660E-05   0.20651E-10   0.30635E-11   0.33828E-11   0.89246E-12  -0.85649E-13
  -0.10000E+02   0.33201E+01   0.10186E+00   0.15627E-05   0.36221E-10   0.56850E-11   0.60611E-11   0.16386E-11  -0.28921E-12
  -0.10000E+02   0.35966E+01   0.12221E+00   0.22184E-05   0.59656E-10   0.97715E-11   0.96835E-11   0.26725E-11  -0.25026E-11
  -0.10000E+02   0.38962E+01   0.14428E+00   0.30553E-05   0.93079E-10   0.15860E-10   0.14035E-10   0.39273E-11   0.12640E-11
