T,E,a,b,c
0.005,-5000.0,2500.0,0.0,0.0
0.021,-4800.0,600.0,0.0,0.0
0.037,-5000.0,2500.0,0.0,0.0
0.053,-5000.0,2500.0,0.0,0.0
0.069,-4800.0,300.0,0.0,0.0
0.085,-4800.0,700.0,0.0,0.0
0.101,-5000.0,2500.0,0.0,0.0
0.117,-5000.0,2500.0,0.0,0.0
0.133,-4800.0,0.0,0.0,0.0
0.149,-5000.0,2500.0,0.0,0.0
0.165,-4800.0,500.0,0.0,0.0
0.181,-5000.0,2500.0,0.0,0.0
0.197,-5000.0,2500.0,0.0,0.0
0.213,-4800.0,600.0,0.0,0.0
0.229,-4800.0,1100.0,0.0,0.0
0.245,-5000.0,2500.0,0.0,0.0
0.261,-5000.0,2500.0,0.0,0.0
0.277,-5000.0,2500.0,0.0,0.0
0.293,-5000.0,2500.0,0.0,0.0
0.309,-5000.0,2500.0,0.0,0.0
0.325,-4799.98668224,499.991912961,0.502662016795,0.582149894281
0.341,-4799.97305203,200.003907328,1.04747153311,1.07591114752
0.357,-5000.0,2500.0,0.0,0.0
0.373,-4799.43969757,259.014244159,16.4528348778,13931.618802
0.389,-4799.67285416,148.576098587,8.0913087163,6243.64005054
0.405,-5000.0,2500.0,0.0,0.0
0.421,-4797.80680091,404.602718105,41.2870942344,42797.1481211
0.437,-5000.0,2500.0,0.0,0.0
0.453,-4797.63974863,252.912352966,35.5754906426,6045.99290615
0.469,-4999.99360819,2499.99840205,0.232284851137,0.00680884771319
0.485,-4999.98842035,2499.99710509,0.393253664292,0.0119204988185
0.501,-4795.50626115,1380.78498945,49.4119162829,16202.3143441
0.517,-4794.03282125,623.630732248,60.5981869691,25675.8791872
0.533,-4999.9947351,2499.99868378,0.148162892122,0.00493567590698
0.549,-4791.4050298,795.44106506,82.9942791086,85459.3437178
0.565,-4999.99182208,2499.99795552,0.204734847898,0.00722970055268
0.581,-4788.44494666,1314.58612271,76.2546386391,7747.93535804
0.597,-4999.9681024,2499.9920256,0.713122654825,0.0266083898382
0.613,-4786.82598804,277.201810099,78.51843581,76352.3234692
0.629,-4999.9273984,2499.9818496,1.50568437364,0.0591922169388
0.645,-4999.89056282,2499.97264071,2.09540674036,0.0844710845818
0.661,-4783.24322846,499.084036475,85.607338872,152438.715911
0.677,-4999.85234945,2499.9627849,2.61113128327,0.113577771783
0.693,-4999.77470811,2499.94343111,3.78979627969,0.166962726894
0.709,-4778.70925576,372.710148307,97.8942449649,89849.0568336
0.725,-4999.66363625,2499.9151186,5.06723608188,0.237141451959
0.741,-4999.61091228,2499.90172557,5.68207205538,0.272356680068
0.757,-4999.43859741,2499.85904891,7.83668933961,0.376426233434
0.773,-4999.26489963,2499.81530504,9.76902233253,0.48075624191
0.789,-4999.11359071,2499.77713499,11.2185309003,0.563990088659
0.805,-4999.05245382,2499.76194408,11.7447232557,0.601228323088
0.821,-4889.66198658,1934.46352336,19978.2769337,492290.669859
0.837,-4998.56893923,2499.63844866,16.8726142799,0.913928025886
0.853,-4761.55083766,1165.06667744,130.827644642,48952.8497655
0.869,-4997.84955815,2499.45607299,22.5390580491,1.27305496394
0.885,-4758.10522419,441.761795343,125.960132717,134906.236742
0.901,-4997.14744594,2499.27935723,28.091747756,1.6412362601
0.917,-4996.48314122,2499.10810399,34.8140931486,2.09784336213
0.933,-4750.53201929,265.452849827,139.823843872,27966.675958
0.949,-4995.42493354,2498.8348146,41.6331007661,2.63668261115
0.965,-4994.78153633,2498.6757542,45.5992927634,2.90049395278
0.981,-4993.89461492,2498.44570519,49.7578917879,3.24511769817
0.997,-4741.62624399,733.240739377,167.268052461,85171.9630902
1.013,-4992.15633279,2497.992648,63.5437666658,4.37567867283
1.029,-4734.63758767,360.132187576,181.308940489,78689.3284138
1.045,-4989.71037071,2497.36204868,78.6786535976,5.63135459467
1.061,-4988.78095893,2497.12645177,84.0931906096,6.10087509903
1.077,-4859.16622943,1851.28170859,14664.3686443,462426.874585
1.093,-4985.65622953,2496.31122142,98.970690875,7.54673825875
1.109,-4983.99294413,2495.87752807,106.174902663,8.20771166324
1.125,-4982.37631614,2495.44919191,117.071301775,9.25999158041
1.141,-4980.2948604,2494.8993442,128.915368264,10.4480583888
1.157,-4978.29385662,2494.38433348,137.670202938,11.2364992134
1.173,-4975.39377847,2493.60511843,149.628894974,12.6014362095
1.189,-4973.11098258,2492.9885273,160.761305679,13.9605188241
1.205,-4970.43109847,2492.27377707,179.588316974,15.8426337392
1.221,-4968.20576843,2491.68662344,176.764962435,15.8296073402
1.237,-4964.87409159,2490.79126651,194.984154713,17.9384956724
1.253,-4961.43842628,2489.85890132,210.610653312,19.8673032022
1.269,-4958.2173852,2488.9967552,224.462486808,21.4695723997
1.285,-4954.30787812,2487.90497421,243.647065032,24.1466133315
1.301,-4950.27818942,2486.80978216,256.263362282,25.7833899943
1.317,-4657.21351199,468.959807619,383.267193233,74559.899705
1.333,-4942.20914123,2484.62036962,276.608740243,29.0765844374
1.349,-4936.70831547,2483.07157555,301.050456439,32.3918062677
1.365,-4932.41598589,2481.87778606,317.083872681,34.8774682962
1.381,-4927.52440067,2480.51781334,340.291013389,38.3627629015
1.397,-4920.6270287,2478.61297257,346.301301425,39.9225051485
1.413,-4914.52791869,2476.7793947,387.245121441,46.5932616091
1.429,-4908.9326297,2475.28820734,386.753139883,46.9055677144
1.445,-4903.62777218,2473.83561908,406.663483545,49.611487926
1.461,-4896.12630361,2471.61069071,440.223159702,56.6869636973
1.477,-4888.50268272,2469.43286999,451.985768963,59.0067117235
1.493,-4880.83608699,2467.18621752,480.625310568,65.1210927637
1.509,-4873.27440094,2464.90710394,517.523287073,72.8718908862
1.525,-4865.24708062,2462.54274416,535.908022937,75.7778664013
1.541,-4855.89447975,2459.7515837,554.606817345,81.3909494799
1.557,-4846.93902996,2457.02523891,601.722542099,90.7342053924
1.573,-4838.14239077,2454.41857367,596.85524507,93.054619108
1.589,-4827.21629701,2451.05726912,645.851029808,103.961736526
1.605,-4815.7500461,2447.53992758,678.115093911,111.717202039
1.621,-4807.57275472,2444.97684698,711.795430779,123.500391317
1.637,-4795.6908612,2441.38131402,686.734971904,120.256977515
1.653,-4782.40512445,2437.10782508,766.739568298,137.674701562
1.669,-4771.48447005,2433.7973778,777.155050473,145.139220768
1.685,-4758.36700158,2429.63550223,852.113830236,160.384227956
1.701,-4743.82739496,2424.64220034,871.652326946,178.889921196
1.717,-4729.86648039,2420.17019666,900.398402836,188.539122371
1.733,-4711.72773186,2413.66910556,897.948298805,203.968446835
1.749,-4700.33266366,2410.04211245,1004.10598895,226.799295563
1.765,-4683.81176603,2404.33863652,1084.72537891,260.748228372
1.781,-4669.54067037,2399.85470491,1060.28840461,257.781717982
1.797,-4653.04698848,2393.51006288,1087.91155573,280.858037469
1.813,-4631.46387498,2386.2199164,1156.08593299,303.629127805
1.829,-4615.743226,2380.28243422,1184.10721322,334.161741217
1.845,-4597.12338822,2374.20192639,1273.25404662,365.145430595
1.861,-4576.02707481,2365.41278986,1320.86831547,428.559708649
1.877,-4557.56912041,2358.81367419,1303.05086189,421.301495825
1.893,-4532.91964218,2349.86924314,1398.55350729,470.340095847
